id,date,store_nbr,item_nbr,unit_sales,onpromotion,family,class,perishable,outlier_flag,holiday_flag,expanding_mean,lag_7,lag_30,rolling_std_7,lag_1,lag_2,lag_5,lag_10,lag_12,rolling_mean_7,dcoilwtico
16323662,2014-01-01,36,106716,3.0,0.0,GROCERY I,1032,0,0,1,3.0,,,,,,,,,,
16324284,2014-01-01,36,1158720,28.0,0.0,GROCERY I,1040,0,0,1,28.0,,,,,,,,,,
16352784,2014-01-02,24,106716,2.0,0.0,GROCERY I,1032,0,0,0,2.5,,,,3.0,,,,,,95.14
16353829,2014-01-02,24,1158720,20.0,0.0,GROCERY I,1040,0,0,0,24.0,,,,28.0,,,,,,95.14
16355696,2014-01-02,26,106716,8.0,0.0,GROCERY I,1032,0,0,0,4.333333333333333,,,,2.0,3.0,,,,,95.14
16356847,2014-01-02,27,106716,4.0,0.0,GROCERY I,1032,0,0,0,4.25,,,,8.0,2.0,,,,,95.14
16357818,2014-01-02,27,1158720,7.0,0.0,GROCERY I,1040,0,0,0,18.333333333333332,,,,20.0,28.0,,,,,95.14
16358285,2014-01-02,28,106716,3.0,0.0,GROCERY I,1032,0,0,0,4.0,,,,4.0,8.0,,,,,95.14
16359202,2014-01-02,28,1158720,224.0,0.0,GROCERY I,1040,0,0,0,69.75,,,,7.0,20.0,,,,,95.14
16359628,2014-01-02,30,106716,1.0,0.0,GROCERY I,1032,0,0,0,3.5,,,,3.0,4.0,,,,,95.14
16360295,2014-01-02,30,1158720,35.0,0.0,GROCERY I,1040,0,0,0,62.8,,,,224.0,7.0,,,,,95.14
16361914,2014-01-02,32,106716,7.0,0.0,GROCERY I,1032,0,0,0,4.0,,,2.581988897471611,1.0,3.0,,,,4.0,95.14
16362450,2014-01-02,32,1158720,19.0,0.0,GROCERY I,1040,0,0,0,55.5,,,,35.0,224.0,,,,,95.14
16363742,2014-01-02,34,106716,6.0,0.0,GROCERY I,1032,0,0,0,4.25,3.0,,2.63673679998231,7.0,1.0,3.0,,,4.428571428571429,95.14
16364662,2014-01-02,34,1158720,124.0,0.0,GROCERY I,1040,0,0,0,65.28571428571429,,,80.14094726524904,19.0,35.0,,,,65.28571428571429,95.14
16365073,2014-01-02,35,106716,4.0,0.0,GROCERY I,1032,0,0,0,4.222222222222222,2.0,,2.4299715851758235,6.0,7.0,2.0,,,4.714285714285714,95.14
16365647,2014-01-02,35,1158720,49.0,0.0,GROCERY I,1040,0,0,0,63.25,28.0,,78.89595318247589,124.0,19.0,28.0,,,68.28571428571429,95.14
16365893,2014-01-02,36,106716,13.605467546210788,0.0,GROCERY I,1032,0,0,0,5.160546754621079,8.0,,4.066059006889872,4.0,6.0,8.0,,,5.515066792315827,95.14
16366842,2014-01-02,36,1158720,93.0,0.0,GROCERY I,1040,0,0,0,66.55555555555556,20.0,,76.22929070839346,49.0,124.0,20.0,,,78.71428571428571,95.14
16388891,2014-01-02,51,106716,2.0,0.0,GROCERY I,1032,0,0,0,4.873224322382799,4.0,,4.256090805792256,13.605467546210788,4.0,4.0,,,5.229352506601542,95.14
16418876,2014-01-03,24,106716,7.0,0.0,GROCERY I,1032,0,0,0,5.050455628850899,3.0,,4.174632106433045,2.0,13.605467546210788,3.0,,,5.800781078030113,93.66
16419963,2014-01-03,24,1158720,7.0,0.0,GROCERY I,1040,0,0,0,60.6,7.0,,76.22929070839346,93.0,49.0,7.0,,,78.71428571428571,93.66
16421837,2014-01-03,26,106716,7.0,0.0,GROCERY I,1032,0,0,0,5.200420580477753,1.0,,3.601228708490829,7.0,2.0,1.0,,,6.6579239351729695,93.66
16422576,2014-01-03,26,1158720,10.0,0.0,GROCERY I,1040,0,0,0,56.0,224.0,,44.60354459542639,7.0,93.0,224.0,,,48.142857142857146,93.66
16422931,2014-01-03,27,106716,4.0,0.0,GROCERY I,1032,0,0,0,5.114676253300771,7.0,,3.729944561484229,7.0,7.0,7.0,,,6.229352506601542,93.66
16423871,2014-01-03,27,1158720,7.0,0.0,GROCERY I,1040,0,0,0,51.916666666666664,35.0,,47.16081908897319,10.0,7.0,35.0,,,44.142857142857146,93.66
16424329,2014-01-03,28,106716,2.0,0.0,GROCERY I,1032,0,0,0,4.907031169747386,6.0,,4.06251203808622,4.0,7.0,6.0,,,5.6579239351729695,93.66
16425163,2014-01-03,28,1158720,9.0,0.0,GROCERY I,1040,0,0,0,48.61538461538461,19.0,,48.18960567630842,7.0,10.0,19.0,,,42.714285714285715,93.66
16426147,2014-01-03,30,1158720,5.0,0.0,GROCERY I,1040,0,0,0,45.5,124.0,,33.479915798949726,9.0,7.0,124.0,,,25.714285714285715,93.66
16427734,2014-01-03,32,106716,2.0,0.0,GROCERY I,1032,0,0,0,4.725341721638174,4.0,,4.263884995455749,2.0,4.0,4.0,,,5.372209649458684,93.66
16428249,2014-01-03,32,1158720,12.0,0.0,GROCERY I,1040,0,0,0,43.266666666666666,49.0,,32.08248298192825,5.0,9.0,49.0,,,20.428571428571427,93.66
16429512,2014-01-03,34,106716,6.0,0.0,GROCERY I,1032,0,0,0,4.800321620365341,13.605467546210788,,2.36038737740833,2.0,2.0,13.605467546210788,,,4.285714285714286,93.66
16430417,2014-01-03,34,1158720,82.0,0.0,GROCERY I,1040,0,0,0,45.6875,93.0,,27.937003963850387,12.0,5.0,93.0,,,18.857142857142858,93.66
16430825,2014-01-03,35,106716,2.0,0.0,GROCERY I,1032,0,0,0,4.644748197011711,2.0,,2.3603873774083306,6.0,2.0,2.0,,,4.285714285714286,93.66
16431386,2014-01-03,35,1158720,49.0,0.0,GROCERY I,1040,0,0,0,45.88235294117647,7.0,,29.43596763274807,82.0,12.0,7.0,,,24.857142857142858,93.66
