,id,date,store_nbr,item_nbr,unit_sales,onpromotion,class,outlier_flag,holiday_flag,expanding_mean,lag_7,lag_30,rolling_std_7,lag_1,lag_2,lag_12,rolling_mean_7,dcoilwtico
1,16324284,2014-01-01,36,1158720,28.0,0.0,1040,0,1,28.0,,,,,,,,
3,16353829,2014-01-02,24,1158720,20.0,0.0,1040,0,0,24.0,,,,28.0,,,,95.14
6,16357818,2014-01-02,27,1158720,7.0,0.0,1040,0,0,18.33333333333333,,,,20.0,28.0,,,95.14
8,16359202,2014-01-02,28,1158720,224.0,0.0,1040,0,0,69.75,,,,7.0,20.0,,,95.14
10,16360295,2014-01-02,30,1158720,35.0,0.0,1040,0,0,62.8,,,,224.0,7.0,,,95.14
12,16362450,2014-01-02,32,1158720,19.0,0.0,1040,0,0,55.5,,,,35.0,224.0,,,95.14
14,16364662,2014-01-02,34,1158720,124.0,0.0,1040,0,0,65.28571428571429,,,80.14094726524904,19.0,35.0,,65.28571428571429,95.14
16,16365647,2014-01-02,35,1158720,49.0,0.0,1040,0,0,63.25,28.0,,78.89595318247589,124.0,19.0,,68.28571428571429,95.14
18,16366842,2014-01-02,36,1158720,93.0,0.0,1040,0,0,66.55555555555556,20.0,,76.22929070839346,49.0,124.0,,78.71428571428571,95.14
21,16419963,2014-01-03,24,1158720,7.0,0.0,1040,0,0,60.6,7.0,,76.22929070839346,93.0,49.0,,78.71428571428571,93.66
23,16422576,2014-01-03,26,1158720,10.0,0.0,1040,0,0,56.0,224.0,,44.60354459542639,7.0,93.0,,48.142857142857146,93.66
25,16423871,2014-01-03,27,1158720,7.0,0.0,1040,0,0,51.91666666666666,35.0,,47.16081908897319,10.0,7.0,,44.142857142857146,93.66
27,16425163,2014-01-03,28,1158720,9.0,0.0,1040,0,0,48.61538461538461,19.0,,48.18960567630842,7.0,10.0,,42.71428571428572,93.66
28,16426147,2014-01-03,30,1158720,5.0,0.0,1040,0,0,45.5,124.0,,33.479915798949726,9.0,7.0,,25.714285714285715,93.66
30,16428249,2014-01-03,32,1158720,12.0,0.0,1040,0,0,43.266666666666666,49.0,,32.08248298192825,5.0,9.0,,20.428571428571427,93.66
32,16430417,2014-01-03,34,1158720,82.0,0.0,1040,0,0,45.6875,93.0,,27.937003963850387,12.0,5.0,,18.857142857142858,93.66
34,16431386,2014-01-03,35,1158720,49.0,0.0,1040,0,0,45.88235294117647,7.0,,29.43596763274807,82.0,12.0,,24.857142857142858,93.66
36,16432502,2014-01-03,36,1158720,68.0,0.0,1040,0,0,47.11111111111112,10.0,,32.55471584593429,49.0,82.0,,33.142857142857146,93.66
39,16486653,2014-01-04,24,1158720,13.0,0.0,1040,0,0,45.31578947368421,7.0,,31.822423959633685,68.0,49.0,,34.0,93.66
41,16489313,2014-01-04,26,1158720,17.0,0.0,1040,0,0,43.9,9.0,,30.905385568584293,13.0,68.0,,35.142857142857146,93.66
43,16490704,2014-01-04,27,1158720,9.0,0.0,1040,0,0,42.23809523809524,5.0,,30.2859389030305,17.0,13.0,,35.714285714285715,93.66
45,16492223,2014-01-04,28,1158720,30.0,0.0,1040,0,0,41.68181818181818,12.0,,28.65725205315569,9.0,17.0,,38.285714285714285,93.66
47,16493346,2014-01-04,30,1158720,42.0,0.0,1040,0,0,41.69565217391305,82.0,,21.609080983521302,30.0,9.0,,32.57142857142857,93.66
49,16495603,2014-01-04,32,1158720,40.0,0.0,1040,0,0,41.625,49.0,,20.71806205314813,42.0,30.0,,31.285714285714285,93.66
51,16497919,2014-01-04,34,1158720,136.0,0.0,1040,0,0,45.4,68.0,,43.84062043356596,40.0,42.0,,41.0,93.66
53,16498937,2014-01-04,35,1158720,41.0,0.0,1040,0,0,45.23076923076923,13.0,,42.10304818735417,136.0,40.0,,45.0,93.66
55,16500097,2014-01-04,36,1158720,51.0,0.0,1040,0,0,45.44444444444444,17.0,,40.25513868410083,41.0,136.0,,49.85714285714285,93.66
58,16554689,2014-01-05,24,1158720,15.0,0.0,1040,0,0,44.35714285714285,9.0,,39.292553517234815,51.0,41.0,,50.71428571428572,93.66
60,16557225,2014-01-05,26,1158720,13.0,0.0,1040,0,0,43.27586206896552,30.0,,41.26222762492869,15.0,51.0,,48.285714285714285,93.66
62,16558700,2014-01-05,27,1158720,6.0,0.0,1040,0,0,42.03333333333333,42.0,,44.30736797805595,13.0,15.0,,43.142857142857146,93.66
64,16560279,2014-01-05,28,1158720,381.0,0.0,1040,0,0,52.96774193548387,40.0,28.0,134.9721311622373,6.0,13.0,,91.85714285714286,93.66
66,16561395,2014-01-05,30,1158720,14.0,0.0,1040,0,0,51.75,136.0,20.0,136.1933149887286,381.0,6.0,,74.42857142857143,93.66
67,16563623,2014-01-05,32,1158720,20.0,0.0,1040,0,0,50.78787878787879,41.0,7.0,137.27934676279256,14.0,381.0,,71.42857142857143,93.66
68,16565908,2014-01-05,34,1158720,22.0,0.0,1040,0,0,49.94117647058823,51.0,224.0,138.43134794994268,20.0,14.0,,67.28571428571429,93.66
70,16566872,2014-01-05,35,1158720,73.0,0.0,1040,0,0,50.6,15.0,35.0,136.5025727997549,22.0,20.0,,75.57142857142857,93.66
72,16568026,2014-01-05,36,1158720,104.0,0.0,1040,0,0,52.083333333333336,13.0,19.0,133.85795598675628,73.0,22.0,,88.57142857142857,93.66
74,16591522,2014-01-05,51,1158720,4.0,0.0,1040,0,0,50.78378378378378,6.0,124.0,134.06554899962717,104.0,73.0,,88.28571428571429,93.66
76,16620426,2014-01-06,24,1158720,13.0,0.0,1040,0,0,49.78947368421053,381.0,49.0,37.59749231759252,4.0,104.0,,35.714285714285715,93.12
78,16622772,2014-01-06,26,1158720,5.0,0.0,1040,0,0,48.64102564102564,14.0,93.0,38.60421886641036,13.0,4.0,,34.42857142857143,93.12
80,16624010,2014-01-06,27,1158720,8.0,0.0,1040,0,0,47.625,20.0,7.0,39.60519446450716,5.0,13.0,,32.714285714285715,93.12
82,16625343,2014-01-06,28,1158720,422.0,0.0,1040,0,0,56.75609756097561,22.0,10.0,151.64808886742642,8.0,5.0,,89.85714285714286,93.12
84,16626335,2014-01-06,30,1158720,17.0,0.0,1040,0,0,55.80952380952381,73.0,7.0,154.14217308643836,422.0,8.0,,81.85714285714286,93.12
86,16628349,2014-01-06,32,1158720,24.0,0.0,1040,0,0,55.06976744186046,104.0,9.0,155.1889784991803,17.0,422.0,,70.42857142857143,93.12
88,16630495,2014-01-06,34,1158720,121.0,0.0,1040,0,0,56.56818181818182,4.0,5.0,153.12895281584142,24.0,17.0,,87.14285714285714,93.12
90,16631427,2014-01-06,35,1158720,32.0,0.0,1040,0,0,56.02222222222223,13.0,12.0,151.7579526432674,121.0,24.0,,89.85714285714286,93.12
92,16632516,2014-01-06,36,1158720,57.0,0.0,1040,0,0,56.04347826086956,5.0,82.0,148.14150249644683,32.0,121.0,,97.28571428571428,93.12
94,16654377,2014-01-06,51,1158720,1.0,0.0,1040,0,0,54.87234042553192,8.0,49.0,148.86651099303057,57.0,32.0,,96.28571428571428,93.12
96,16683311,2014-01-07,24,1158720,6.0,0.0,1040,0,0,53.85416666666666,422.0,68.0,41.44646575776424,1.0,57.0,,36.85714285714285,93.31
99,16686867,2014-01-07,27,1158720,12.0,0.0,1040,0,0,53.0,17.0,13.0,41.88646786822912,6.0,1.0,,36.142857142857146,93.31
101,16688211,2014-01-07,28,1158720,118.0,0.0,1040,0,0,54.3,24.0,17.0,51.34477299867742,12.0,6.0,,49.57142857142857,93.31
103,16689264,2014-01-07,30,1158720,12.0,0.0,1040,0,0,53.47058823529412,121.0,9.0,41.69332480545697,118.0,12.0,,34.0,93.31
105,16691353,2014-01-07,32,1158720,12.0,0.0,1040,0,0,52.67307692307692,32.0,30.0,42.53010138489589,12.0,118.0,,31.142857142857142,93.31
107,16693502,2014-01-07,34,1158720,79.0,0.0,1040,0,0,53.16981132075472,57.0,42.0,45.47055562197836,12.0,12.0,,34.285714285714285,93.31
109,16694393,2014-01-07,35,1158720,81.0,0.0,1040,0,0,53.68518518518518,1.0,40.0,45.76284623182976,79.0,12.0,,45.71428571428572,93.31
111,16695481,2014-01-07,36,1158720,44.0,0.0,1040,0,0,53.50909090909091,6.0,136.0,42.39665305747838,81.0,79.0,,51.142857142857146,93.31
114,16746344,2014-01-08,24,1158720,6.0,0.0,1040,0,0,52.660714285714285,12.0,41.0,43.36939891103821,44.0,81.0,,50.285714285714285,91.9
115,16748769,2014-01-08,26,1158720,15.0,0.0,1040,0,0,52.0,118.0,51.0,32.73559297796585,6.0,44.0,,35.57142857142857,91.9
116,16750040,2014-01-08,27,1158720,17.0,0.0,1040,0,0,51.39655172413793,12.0,15.0,32.18547439303577,15.0,6.0,,36.285714285714285,91.9
118,16751403,2014-01-08,28,1158720,129.0,0.0,1040,0,0,52.71186440677966,12.0,13.0,45.21430452117265,17.0,15.0,,53.0,91.9
120,16752390,2014-01-08,30,1158720,7.0,0.0,1040,0,0,51.95,79.0,6.0,46.48553282371583,129.0,17.0,,42.71428571428572,91.9
122,16754326,2014-01-08,32,1158720,12.0,0.0,1040,0,0,51.29508196721312,81.0,381.0,44.27726493897506,7.0,129.0,,32.857142857142854,91.9
124,16756463,2014-01-08,34,1158720,62.0,0.0,1040,0,0,51.46774193548387,44.0,14.0,45.53700745129226,12.0,7.0,,35.42857142857143,91.9
126,16757262,2014-01-08,35,1158720,55.0,0.0,1040,0,0,51.523809523809526,6.0,20.0,43.99945887113137,62.0,12.0,,42.42857142857143,91.9
128,16758248,2014-01-08,36,1158720,28.0,0.0,1040,0,0,51.15625,15.0,22.0,42.90965037422346,55.0,62.0,,44.285714285714285,91.9
130,16780371,2014-01-08,51,1158720,3.0,0.0,1040,0,0,50.41538461538462,17.0,73.0,44.6830105137448,28.0,55.0,,42.285714285714285,91.9
132,16809058,2014-01-09,24,1158720,8.0,0.0,1040,0,0,49.77272727272727,129.0,104.0,24.30363484474423,3.0,28.0,,25.0,91.36
134,16811319,2014-01-09,26,1158720,5.0,0.0,1040,0,0,49.1044776119403,7.0,4.0,24.560905830976484,8.0,3.0,,24.714285714285715,91.36
136,16812515,2014-01-09,27,1158720,4.0,0.0,1040,0,0,48.44117647058823,12.0,13.0,25.422150072047675,5.0,8.0,,23.571428571428573,91.36
138,16813864,2014-01-09,28,1158720,29.0,0.0,1040,0,0,48.15942028985507,62.0,5.0,19.47159102751637,4.0,5.0,,18.857142857142858,91.36
140,16814856,2014-01-09,30,1158720,14.0,0.0,1040,0,0,47.67142857142857,55.0,8.0,11.19523708249772,29.0,4.0,,13.0,91.36
141,16816889,2014-01-09,32,1158720,27.0,0.0,1040,0,0,47.38028169014085,28.0,422.0,10.976164652381506,14.0,29.0,,12.857142857142858,91.36
143,16819016,2014-01-09,34,1158720,80.0,0.0,1040,0,0,47.833333333333336,3.0,17.0,26.729687436934046,27.0,14.0,,23.857142857142858,91.36
145,16819906,2014-01-09,35,1158720,32.0,0.0,1040,0,0,47.61643835616438,8.0,24.0,25.88251846140096,80.0,27.0,,27.285714285714285,91.36
147,16820908,2014-01-09,36,1158720,62.0,0.0,1040,0,0,47.810810810810814,5.0,121.0,26.657438879589456,32.0,80.0,,35.42857142857143,91.36
150,16871036,2014-01-10,24,1158720,5.0,0.0,1040,0,0,47.24,4.0,32.0,26.46291205226126,62.0,32.0,,35.57142857142857,92.39
153,16874813,2014-01-10,27,1158720,52.0,0.0,1040,0,0,47.30263157894737,29.0,57.0,26.93466521930782,5.0,62.0,,38.85714285714285,92.39
155,16876132,2014-01-10,28,1158720,424.0,0.0,1040,0,0,52.1948051948052,14.0,1.0,146.09113267963613,52.0,5.0,,97.42857142857144,92.39
157,16877106,2014-01-10,30,1158720,20.0,0.0,1040,0,0,51.782051282051285,27.0,6.0,146.6763524940281,424.0,52.0,,96.42857142857144,92.39
158,16879128,2014-01-10,32,1158720,26.0,0.0,1040,0,0,51.45569620253165,80.0,12.0,149.08466753908027,20.0,424.0,,88.71428571428571,92.39
160,16881285,2014-01-10,34,1158720,69.0,0.0,1040,0,0,51.675,32.0,118.0,147.3849834051398,26.0,20.0,,94.0,92.39
162,16882137,2014-01-10,35,1158720,13.0,0.0,1040,0,0,51.19753086419753,62.0,12.0,150.2930470780335,69.0,26.0,,87.0,92.39
164,16883085,2014-01-10,36,1158720,33.0,0.0,1040,0,0,50.97560975609756,5.0,12.0,148.10356736644349,13.0,69.0,,91.0,92.39
166,16905157,2014-01-10,51,1158720,5.0,0.0,1040,0,0,50.42168674698795,52.0,79.0,151.1993323240486,33.0,13.0,,84.28571428571429,92.39
168,16936477,2014-01-11,24,1158720,8.0,0.0,1040,0,0,49.91666666666666,424.0,81.0,21.828334578620225,5.0,33.0,,24.857142857142858,92.39
171,16940582,2014-01-11,27,1158720,2.0,0.0,1040,0,0,49.35294117647059,20.0,44.0,23.49265336024772,8.0,5.0,,22.285714285714285,92.39
173,16942066,2014-01-11,28,1158720,121.0,0.0,1040,0,0,50.18604651162791,26.0,6.0,44.258440142073695,2.0,8.0,,35.857142857142854,92.39
175,16943199,2014-01-11,30,1158720,17.0,0.0,1040,0,0,49.80459770114943,69.0,15.0,42.07872440579733,121.0,2.0,,28.428571428571427,92.39
176,16945428,2014-01-11,32,1158720,12.0,0.0,1040,0,0,49.375,13.0,17.0,42.14148504626715,17.0,121.0,,28.285714285714285,92.39
178,16947688,2014-01-11,34,1158720,94.0,0.0,1040,0,0,49.87640449438202,33.0,129.0,49.023803741991806,12.0,17.0,,37.0,92.39
180,16948632,2014-01-11,35,1158720,456.0,0.0,1040,0,0,54.388888888888886,5.0,7.0,163.24813132453423,94.0,12.0,,101.42857142857144,92.39
182,16949745,2014-01-11,36,1158720,22.0,0.0,1040,0,0,54.03296703296704,8.0,12.0,161.99368006484815,456.0,94.0,28.0,103.42857142857144,92.39
185,17003946,2014-01-12,24,1158720,2.0,0.0,1040,0,0,53.46739130434783,2.0,62.0,161.99368006484815,22.0,456.0,20.0,103.42857142857144,92.39
187,17006503,2014-01-12,26,1158720,5.0,0.0,1040,0,0,52.94623655913978,121.0,55.0,165.78543218211158,2.0,22.0,7.0,86.85714285714286,92.39
189,17007935,2014-01-12,27,1158720,8.0,0.0,1040,0,0,52.46808510638298,17.0,28.0,166.4510510058509,5.0,2.0,224.0,85.57142857142857,92.39
191,17009522,2014-01-12,28,1158720,83.0,0.0,1040,0,0,52.78947368421053,12.0,3.0,163.3551491747498,8.0,5.0,35.0,95.71428571428572,92.39
193,17010653,2014-01-12,30,1158720,5.0,0.0,1040,0,0,52.29166666666666,94.0,8.0,166.93511713636926,83.0,8.0,19.0,83.0,92.39
195,17012901,2014-01-12,32,1158720,36.0,0.0,1040,0,0,52.123711340206185,456.0,5.0,29.108990592827592,5.0,83.0,124.0,23.0,92.39
197,17015181,2014-01-12,34,1158720,50.0,0.0,1040,0,0,52.10204081632653,22.0,4.0,30.822070014844755,36.0,5.0,49.0,27.0,92.39
200,17017242,2014-01-12,36,1158720,65.0,0.0,1040,0,0,52.23232323232323,2.0,29.0,31.496031496047127,50.0,36.0,93.0,36.0,92.39
203,17070180,2014-01-13,24,1158720,13.0,0.0,1040,0,0,51.84,5.0,14.0,30.306372110105546,65.0,50.0,7.0,37.142857142857146,91.45
